,x_1_1,x_1_2,x_1_3,x_2_1,x_2_2,x_2_3,x_3_1,x_3_2,x_4_1,x_4_2,x_4_3,x_5_1,x_5_2,x_5_3,x_5_4,x_6_1,x_6_2,target
3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
9,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
11,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
12,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
20,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
26,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
28,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
35,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
36,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
37,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
38,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
39,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
40,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
41,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
42,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
43,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
44,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
45,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
46,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
47,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
50,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
51,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
56,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
58,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
61,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
63,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
66,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
67,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
68,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
73,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
75,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
76,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
77,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
78,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
79,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
80,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
81,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
82,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
83,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
84,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
85,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
86,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
87,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
91,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
93,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
96,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
99,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
107,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
110,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
111,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
112,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
113,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
114,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
115,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
116,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
117,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
118,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
119,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
120,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
121,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
